"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Stockman, Mad Fly-entist","U","C","156748","7.65","20721","10.96","26217","19.4%","52.9%","4549","50.1%","7484","55.9%","12033","53.7%","14237","52.2%","1.5pp"
"Turtles in Time","U","M","10641","5.00","1528","7.17","1033","10.2%","50.2%","164","","308","","472","","561","49.2%",""
"Utrom Scientists","U","C","143344","6.69","19847","9.50","58340","45.6%","53.6%","10243","50.9%","15930","56.1%","26173","54.1%","31528","52.9%","1.2pp"
"Anchovy & Banana Pizza","B","C","80938","3.59","21934","4.48","127504","87.2%","56.3%","21509","54.2%","32201","59.3%","53710","57.2%","66601","54.6%","2.6pp"
"Armaggon, Future Shark","B","R","4709","2.07","2615","2.14","19914","86.2%","58.4%","3243","59.1%","5864","67.8%","9107","64.7%","10793","53.2%","11.4pp"
"Bebop, Warthog Warrior","B","C","152110","7.15","17644","10.57","27738","24.2%","53.0%","4844","50.4%","7159","54.2%","12003","52.7%","15818","53.2%","-0.5pp"
"The Cloning of Shredder","B","M","2629","1.73","1676","1.80","13109","88.3%","57.5%","2192","57.1%","3583","63.5%","5775","61.1%","7324","54.6%","6.4pp"
"Death in the Family","B","U","28192","3.23","8402","3.90","51085","89.2%","56.8%","8950","57.4%","12870","58.7%","21820","58.1%","29264","55.8%","2.3pp"
"Dream Beavers","B","U","25187","3.00","9399","3.39","61680","86.8%","59.8%","11393","68.1%","15038","61.0%","26431","64.0%","35317","56.7%","7.4pp"
"Foot Mystic","B","C","151176","7.27","15561","10.95","17222","17.0%","51.8%","2889","46.9%","4267","52.8%","7156","50.4%","10104","52.8%","-2.4pp"
"Insectoid Exterminator","B","C","150841","7.15","15892","10.67","23334","22.6%","52.5%","4111","49.0%","5814","53.4%","9925","51.6%","13402","53.1%","-1.6pp"
"Lord Dregg, Insect Invader","B","U","32391","3.67","7507","4.60","41268","82.4%","55.8%","6957","55.2%","11122","58.7%","18079","57.4%","23426","54.5%","2.9pp"
"Madame Null, Power Broker","B","R","5063","2.10","2207","2.24","15425","88.4%","54.6%","2703","56.3%","4146","57.1%","6849","56.8%","8635","52.9%","3.9pp"
"Ninja Teen","B","R","4748","2.09","2150","2.25","15342","84.2%","56.7%","2641","56.2%","3823","62.0%","6464","59.6%","8874","54.6%","5.1pp"
